color,from,nikename,parent,subparent,l,a,b
荸荠紫,perchouli,,黑,紫,16.48642229,27.9071686,-6.773212197
荸荠紫,中国色名综览_凑幸卫,,黑,紫,36.23375945,16.63493674,-17.07172412
豆蔻紫,perchouli,,赤,紫,55.34473255,44.26455581,-13.12572013
豆蔻紫,中国色名综览_凑幸卫,,赤,紫,54.11579226,35.27697719,-26.85231861
扁豆紫,perchouli,,赤,紫,51.71137212,44.24322662,-13.35699939
扁豆紫,中国色名综览_凑幸卫,,黑,紫,54.14876351,26.810364,-20.93475351
牵牛紫,perchouli,,赤,紫,26.94474801,48.49130061,-12.14357657
牵牛紫,DIC中国传统色,,赤,紫,35.31572391,57.95605192,-13.45163976
牵牛紫,中国色名综览_凑幸卫,,黑,紫,33.58985179,29.13698385,-22.4716659
芓紫,perchouli,,赤,紫,41.49653862,45.3461211,-13.67318296
葛巾紫,perchouli,,赤,紫,33.86700331,54.77541379,-14.42501585
葛巾紫,中国色名综览_凑幸卫,,黑,紫,41.20625202,26.4459148,-20.67009487
芥花紫,perchouli,,赤,紫,43.13686913,57.95847133,-17.50191718
芥花紫,中国色名综览_凑幸卫,,黑,紫,41.19482386,45.29175085,-33.62425563
凤信紫,perchouli,,白,紫,75.06145721,17.43420115,-7.91112871
凤信紫,中国色名综览_凑幸卫,,白,紫,71.59244544,17.48939529,-14.19542735
深牵牛紫,perchouli,,黑,紫,3.348220371,10.14792745,-4.168387741
深牵牛紫,中国色名综览_凑幸卫,,黑,紫,29.80147681,19.7167644,-15.68273058
魏紫,perchouli,,赤,紫,33.67421483,59.0598017,-22.90273824
魏紫,中国色名综览_凑幸卫,,赤,紫,43.68166082,44.81849887,-33.25387497
乌梅紫,perchouli,,黑,紫,4.873057007,9.399024551,-4.357212476
乌梅紫,中国色名综览_凑幸卫,,黑,紫,30.73106656,15.68527678,-12.74159072
桔梗紫,perchouli,,赤,紫,39.65840884,48.26587244,-26.40942423
桔梗紫,中国色名综览_凑幸卫,,黑,紫,56.67991775,27.78547521,-28.9502686
淡牵牛紫,perchouli,,白,紫,81.04302484,10.53345244,-6.934559793
淡牵牛紫,人造丝绸缎色谱_何进丰,,白,紫,75,10,0
淡牵牛紫,中国色名综览_凑幸卫,,白,紫,74.08338442,20.49936847,-16.39394907
剑锋紫,perchouli,,黑,紫,23.45795,6.344963263,-5.244621688
剑锋紫,中国色名综览_凑幸卫,,黑,紫,45.06499193,7.364553298,-12.02150446
蕈紫,perchouli,,黑,紫,35.93784393,-7.071691768,-42.25371117
蕈紫,中国色名综览_凑幸卫,,白,紫,61.67270206,21.31045995,-28.82242201
槿紫,perchouli,,黑,紫,50.49436379,21.08129104,-24.67642262
槿紫,中国色名综览_凑幸卫,,白,紫,61.68116357,18.54124646,-25.41095164
藕荷紫,乾隆色谱,,黑,紫,40,14,-11
龙葵紫,perchouli,,黑,紫,18.57992746,5.595929647,-8.340685875
龙葵紫,中国色名综览_凑幸卫,,黑,紫,33.72067705,5.542556974,-12.28822664
藤萝紫,perchouli,,黑,紫,52.80325011,15.75400898,-24.02225069
藤萝紫,中国色名综览_凑幸卫,,白,紫,64.22588041,12.97151952,-23.44350988
铁色紫,乾隆色谱,,黑,紫,33,19,-8
龙胆紫,中国美色_中国国家地理,,黑,紫,21.24988339,58.18311061,-78.39318292
暗龙胆紫,perchouli,,黑,紫,10.41930621,6.25127488,-10.78903002
暗龙胆紫,中国色名综览_凑幸卫,,黑,紫,30.76033694,5.876749053,-13.14403945
暗蓝紫,perchouli,,黑,紫,3.274885782,6.124240861,-13.45118572
暗蓝紫,中国色名综览_凑幸卫,,黑,紫,20.46521473,5.223343897,-25.55959128
野葡萄紫,perchouli,,黑,紫,19.17135607,9.828668312,-19.7125973
野葡萄紫,中国色名综览_凑幸卫,,黑,紫,41.20559553,7.081839672,-16.64196774
野菊紫,perchouli,蒙赛尔不清晰,黑,紫,36.96094342,15.65979254,-32.8583191
野菊紫,中国色名综览_凑幸卫,蒙赛尔不清晰,黑,紫,43.9562907,14.31683648,-24.01305159
远山紫,perchouli,,白,紫,82.76889352,2.254033218,-5.919970496
远山紫,中国色名综览_凑幸卫,,白,紫,81.33977994,11.4477911,-13.57098553
螺甸紫,perchouli,蒙赛尔不清晰,青,紫,50.78863482,8.971496756,-22.40601537
螺甸紫,中国色名综览_凑幸卫,蒙赛尔不清晰,白,紫,61.6811147,19.24452506,-34.40177669
晶石紫,perchouli,,黑,紫,11.29076143,12.02818553,-24.14059745
晶石紫,中国色名综览_凑幸卫,,黑,紫,23.48965037,7.586334789,-17.2531574
满天星紫,perchouli,,黑,紫,23.32922124,26.14391717,-47.47442699
满天星紫,人造丝绸缎色谱_何进丰,,黑,紫,48,15,-26
满天星紫,中国美色_中国国家地理,,黑,紫,24.21166041,63.37233329,-88.5046192
满天星紫,中国色名综览_凑幸卫,,黑,紫,41.20580008,19.44608577,-31.55406255
淡蓝紫,perchouli,,白,紫,69.94856464,4.173176037,-12.04651518
淡蓝紫,中国色名综览_凑幸卫,,白,紫,71.58994197,16.43810277,-18.60686315
山梗紫,perchouli,,黑,紫,44.54591435,14.81525324,-34.9630252
山梗紫,人造丝绸缎色谱_何进丰,,青,紫,60,7,-18
淡藤萝紫,perchouli,,白,紫,92.98159747,5.047164659,1.88366076
淡藤萝紫,中国色名综览_凑幸卫,,白,紫,91.08176574,9.586963566,-8.973411842
貂紫,perchouli,,黑,紫,27.02669516,26.93565033,12.7059816
貂紫,中国色名综览_凑幸卫,,黑,紫,43.8948249,16.40626461,2.959591039
藤紫,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,,白,紫,72.22,6.28,-1.79
紫薇花,DIC中国传统色,,白,紫,75.31569449,38.9854979,-15.85471846
紫水晶,DIC中国传统色,,白,紫,75.03299321,16.95081678,-16.40142181
浅石英紫,DIC中国传统色,,白,紫,66.60159845,18.72741187,-23.62353468
浅凤仙紫,DIC中国传统色,,白,紫,68.40439526,38.01943415,-30.29521608
木槿紫,DIC中国传统色,郭浩：木槿,白,紫,62.16305244,24.19427902,-26.1212037
木槿紫,故宫里的色彩美学_郭浩,郭浩：木槿,赤,紫,62.00293367,41.40532865,-17.53341936
木槿紫,中国美色_中国国家地理,郭浩：木槿,黑,紫,58.06046254,44.57042492,-62.70547597
紫罗蓝,DIC中国传统色,,黑,紫,27.16174942,43.7053644,-28.14597187
龙胆紫,DIC中国传统色,,黑,紫,27.36930813,18.99114905,-28.57951981
雪紫,DIC中国传统色,,黑,紫,35.17544596,23.59138708,-2.766438755
紫粉,DIC中国传统色,,赤,紫,40.90312079,45.61372927,7.674368189
紫绛色,DIC中国传统色,,黑,紫,27.82844583,29.53688235,3.999391314
紫铜色,DIC中国传统色,,黑,紫,37.93445417,24.42409931,4.340914957
浅藤紫,DIC中国传统色,,白,紫,79.29609376,2.865466936,-7.491795555
凤仙紫,DIC中国传统色,,黑,紫,50.33291557,23.33425136,-13.77843883
闪蝶紫,DIC中国传统色,,青,紫,62.42521463,7.379815206,-20.52160216
紫色,中国颜色_黄仁达,,黑,紫,46.88680472,61.18984285,-86.91056565
紫色,中国美色_中国国家地理,,青,紫,89.02927844,-62.51462529,-18.43881807
紫砂色,中国颜色_黄仁达,,黑,紫,17.83303093,28.64727683,20.15665589
紫藤色,中国颜色_黄仁达,明：紫藤,白,紫,71.42204154,15.56829923,-15.31862145
紫藤色,中国美色_中国国家地理,明：紫藤,白,紫,71.42204154,15.56829923,-15.31862145
紫藤色,中国传统色彩图鉴_鸿洋,明：紫藤,黑,紫,52.17810726,46.27628537,-78.10145109
枣紫,DIC中国传统色,,黑,紫,26.70884834,27.57207781,9.1451555
