color,from,l,a,b
青翠,古色之美_青简,51.025,-61.288,15.826
青翠,中国颜色_黄仁达,49.505,-24.25,-6.497
青翠,DIC中国传统色,42.67,-20.812,3.127
青翠,色谱_perchouli,58.674,-48.444,23.467
青翠,国标,54.6,-54.8,25.2
青灰色,中国色名综览_凑幸卫,45.0530751456824,4.1640964689773,-18.6099563148002
青灰色,人造丝绸缎色谱_何进丰,48,-2,-7
青灰色,中国颜色_黄仁达,44.224,-1.137,-2.521
青灰色,DIC中国传统色,42.672,-0.352,-1.4
青莲,涤棉色谱_何进丰,49,30,-18
青莲,涤棉色谱_何进丰,41,36,-30
青莲,中国传统色彩图鉴_鸿洋,33.885,33.681,-34.6
青莲,人造丝绸缎色谱_何进丰,41,28,-23
青莲,古色之美_青简,34.343,37.177,-32.719
青莲,中国颜色_黄仁达,53.25,36.546,-14.348
青莲,色谱_perchouli,34.126,50.005,-20.038
青莲,国标,61,13.5,-30.5
秋香色,古色之美_青简,68.019,10.115,44.053
秋香色,中国颜色_黄仁达,69.698,5.423,63.246
秋香色,故宫里的色彩美学_郭浩,65.98,3.243,48.792
秋香色,乾隆色谱_刘剑,52,5,50
秋香色,国标,60.5,9.6,39.4
群青,中国颜色_黄仁达,33.088,2.703,-47.147
群青,中国颜色_黄仁达,28.431,2.76,-38.381
群青,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,33.69,15.55,-53.33
群青,故宫里的色彩美学_郭浩,38.75,12.531,-46.373
群青,DIC中国传统色,33.179,18.768,-45.099
群青,色谱_perchouli,46.325,-0.83,-41.953
乳白,中国色名综览_凑幸卫,94.4339991355593,4.13189954444126,10.4806727893771
乳白,中国传统色彩图鉴_鸿洋,90.109,0.015,-1.639
乳白,钧瓷色彩的特征与分类体系研究_王庆斌,83.3244700969128,-5.2238977178472,-5.63195464335895
乳白,DIC中国传统色,89.47,-0.723,18.887
乳白,色谱_perchouli,96.001,-2.299,12.164
三绿,中国色名综览_凑幸卫,74.0445736815686,-23.8913043626873,2.0861621510456
三绿,中国传统色彩图鉴_鸿洋,64.05,-34.594,-6.065
三绿,DIC中国传统色,78.325,-18.293,10.342
三绿,色谱_perchouli,76.383,-29.347,8.388
三绿,国标,75.9,-27.8,13.5
上青,绞丝染色基本色谱_何进丰,23,1,-18
上青,人造丝绸缎色谱_何进丰,26,-1,-15
上青,染色样本硫化类_何进丰,24,1,-13
上青,染色样本纳夫妥类_何进丰,23,2,-15
上青,染色样本士林类_何进丰,24,6,-16
深草绿,涤棉色谱_何进丰,40,-13,17
深草绿,涤棉色谱_何进丰,39,-12,14
深草绿,涤棉色谱_何进丰,38,-9,11
深草绿,涤棉色谱_何进丰,38,-8,14
深草绿,涤棉色谱_何进丰,34,-7,12
深草绿,涤棉色谱_何进丰,33,-6,4
深灰,涤棉色谱_何进丰,32,-4,-6
